Group,Item,EU-28,EUR,AFR,NAM,LAM,ASI
Crop products,Wheat,993.2018552,115.7211751,34.79261545,91.18394114,10.31490513,206.892471
Crop products,Rice,9.204542751,0.032762572,9.330468572,3.050997632,14.40088077,340.2594044
Crop products,Maize,166.2399891,29.59860815,5.485720077,1195.925449,44.90658416,548.834859
Crop products,Other cereals,86.49368664,1.109645316,120.3545886,2.909180154,8.5274948,5.129804905
Crop products,Roots & pulses,33.2034805,3.675918365,84.27807097,1.622175329,5.328726298,50.99362677
Crop products,Sugar & sweeteners,77.83384249,4.970782306,8.908460695,0.127152827,40.77932372,31.09514818
Crop products,Oil crops (incl. oils & cakes),4638.87296,819.9844017,489.9980933,326.3050354,592.750873,4075.229522
Crop products,"Fruit, vegetables, spices",49.6921058,6.292274539,11.28153222,0.675172422,2.704711822,21.73470323
Crop products,"Coffee, tea, cocoa",0,0,33.69895753,0,1.42307536,2.436090747
Crop products,Tobacco,84.36518942,16.19908729,113.6820582,14.81254356,117.0031211,204.7633856
Crop products,Rubber,0,0,210.337921,0,8.247358057,1335.526788
Crop products,Fibre crops,218.5292403,108.8317841,425.1104836,346.1760407,133.6044313,1726.645819
Crop products,"Alcohol, non-food",632.0984831,27.77252699,161.5138546,118.8288065,503.4459396,626.6725538
Livestock products,Meat and fats,791.7822893,84.39903746,10.93921733,88.4437751,62.42467736,176.8425609
Livestock products,Milk and eggs,667.3128448,107.9472853,3.967976091,109.1715288,1.284956879,57.28798867
Livestock products,"Hides, skins, wool",1490.145257,171.2942408,160.6988465,393.9295917,66.82941321,1159.054902
,,,,,,,
,,,,,,,
